price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,rate
420000,3,2.5,1470,1571,2,0,0,3,8,1180,290,2007,0,285.7142857
480000,4,2.5,2940,9172,2,0,0,3,9,2940,0,2006,0,163.2653061
505000,4,2.5,2790,5602,2,0,0,3,8,2790,0,2009,0,181.0035842
942990,4,2.5,3570,6218,2,0,0,3,9,3570,0,2014,0,264.1428571
390000,3,3.25,1370,913,2,0,0,3,8,1100,270,2006,0,284.6715328
1.41E+06,4,4,4920,50621,2,0,0,3,10,4280,640,2012,0,286.3333333
1.38E+06,5,3.5,5150,12230,2,0,2,3,10,3700,1450,2007,0,267.5728155
462500,6,3,2390,4000,2,0,0,3,7,2390,0,2014,0,193.5146444
579950,4,2.75,2460,8643,2,0,0,3,9,2460,0,2011,0,235.7520325
861111,4,2.5,3650,7090,2,0,0,3,10,3650,0,2008,0,235.9208219
290000,3,2.25,1610,3764,2,0,0,3,7,1610,0,2012,0,180.1242236
535000,4,2.5,2610,4595,2,0,0,3,8,2610,0,2008,0,204.9808429
670000,3,2.5,3310,5300,2,0,2,3,8,2440,870,2008,0,202.4169184
1.33E+06,4,4,4420,16526,2,0,0,3,11,4420,0,2013,0,299.7737557
332000,4,2.5,2380,5737,2,0,0,3,7,2380,0,2010,0,139.4957983
336750,2,2.25,1170,1011,2,0,0,3,7,1170,0,2009,0,287.8205128
370000,4,2.5,2531,6843,2,0,0,3,8,2531,0,2013,0,146.1872778
338500,3,2.25,1333,1470,3,0,3,3,7,1333,0,2009,0,253.9384846
715000,4,3.25,2630,7770,2,0,0,3,9,2630,0,2014,0,271.8631179
589999,3,2.5,2140,3628,2,0,0,3,8,1960,180,2006,0,275.7004673
405000,4,2.5,1980,5020,2,0,0,3,7,1980,0,2007,0,204.5454545
509900,3,2.5,3030,9053,2,0,0,3,8,3030,0,2009,0,168.2838284
327000,2,2,1490,1627,2,0,0,3,8,1190,300,2009,0,219.4630872
327500,3,2.5,1820,1866,2,0,0,3,8,1570,250,2008,0,179.9450549
249000,3,2,1260,1125,2,0,0,3,7,810,450,2011,0,197.6190476
465000,3,2.5,2050,15035,2,0,0,3,9,2050,0,2006,0,226.8292683
388000,3,2.5,2198,6222,2,0,2,3,8,2198,0,2010,0,176.5241128
305000,2,2.5,1590,2656,2,0,0,3,7,1220,370,2009,0,191.8238994
540000,5,2.5,3370,4850,2,0,0,3,9,3370,0,2007,0,160.2373887
750000,5,4,4500,8130,2,0,0,3,10,4500,0,2007,0,166.6666667
422000,4,2.5,2930,5973,2,0,0,3,10,2930,0,2008,0,144.0273038
337000,4,2.5,2470,5100,2,0,0,3,8,2470,0,2005,0,136.437247
579950,5,2.75,3080,5752,2,0,0,3,9,3080,0,2014,0,188.2954545
341780,4,2.75,2260,4440,2,0,0,3,7,2260,0,2014,0,151.2300885
330000,3,2.5,1450,5008,1,0,0,3,7,840,610,2007,0,227.5862069
608500,4,3.5,2850,5577,2,0,0,3,8,1950,900,2014,0,213.5087719
230000,3,1.75,1140,1201,2,0,0,3,8,1140,0,2014,0,201.754386
785000,4,3.5,3070,4684,2,0,0,3,10,2190,880,2009,0,255.7003257
399950,3,2.5,3087,5002,2,0,0,3,8,3087,0,2014,0,129.5594428
3.57E+06,5,4.5,4850,10584,2,1,4,3,10,3540,1310,2007,0,735.4639175
594866,3,3,2780,6000,2,0,0,3,9,2780,0,2013,0,213.9805755
625000,3,3,2780,6000,2,0,0,3,9,2780,0,2013,0,224.8201439
270000,3,2.5,1870,5000,2,0,0,3,7,1870,0,2009,0,144.3850267
385000,3,2.5,1520,1488,3,0,0,3,8,1520,0,2006,0,253.2894737
347500,3,2.5,2540,4760,2,0,0,3,8,2540,0,2010,0,136.8110236
1.22E+06,4,3.5,4910,9444,1.5,0,0,3,11,3110,1800,2007,0,248.9816701
572000,4,2.75,2770,3852,2,0,0,3,8,2770,0,2014,0,206.4981949
1.09E+06,5,3.75,4170,8142,2,0,2,3,10,4170,0,2006,0,260.911271
350000,4,2.75,2500,5995,2,0,0,3,8,2500,0,2008,0,140
679950,5,2.75,3600,9437,2,0,0,3,9,3600,0,2014,0,188.875
541800,4,2.5,3118,7866,2,0,2,3,9,3118,0,2014,0,173.7652341
810000,4,3,3990,7838,2,0,0,3,9,3990,0,2003,0,203.0075188
224000,3,1.75,1500,11968,1,0,0,3,6,1500,0,2014,0,149.3333333
507250,3,2.5,2270,5536,2,0,0,3,8,2270,0,2003,0,223.4581498
429000,3,2,1490,1126,3,0,0,3,8,1490,0,2014,0,287.9194631
610685,4,2.5,2520,6023,2,0,0,3,9,2520,0,2014,0,242.3353175
1.01E+06,4,3.5,3510,7200,2,0,0,3,9,2600,910,2009,0,287.037037
360000,3,2.5,1530,1131,3,0,0,3,8,1530,0,2009,0,235.2941176
400000,4,2.5,2310,5813,2,0,0,3,8,2310,0,2014,0,173.1601732
400000,3,2.5,1600,2388,2,0,0,3,8,1600,0,2004,0,250
